symbol,strategy,cumulative_return,annualized_return,annualized_volatility,downside_volatility_annualized,sharpe,sortino,max_drawdown,calmar,var_95,cvar_95,ulcer_index,time_under_water_ratio,benchmark_cumulative_return,benchmark_annualized_return,excess_cumulative_return,tracking_error_annualized,information_ratio,turnover_mean,turnover_annualized,hit_rate,avg_holding_bars,profit_factor
BTC/USDT,lstm,1.0719072957064038,0.2749138984800621,0.46410314299270344,0.29532951218895204,0.7555262718861433,1.1872911541992386,-0.46294868628576724,0.5938323330943945,-0.00700036130502103,-0.011998950465270981,0.20442709721715327,0.9888102306462663,4.350410013391611,0.7492469829868407,-3.278502717685207,0.48815834372965056,-0.6479214667451458,0.060135495166324125,526.7869376569994,0.5044530714775063,33.21618204804046,1.0258555351189442
BTC/USDT,arima_garch,0.9942504591779975,0.25877870250942925,0.4641042155300431,0.29555847175136196,0.7282368564952126,1.1435226099291056,-0.40683601122800916,0.6360761962254075,-0.006900028944252884,-0.011875383840718083,0.20262150382698546,0.9946334779630053,4.350410013391611,0.7492469829868407,-3.356159554213613,0.6159906536923836,-0.534022051298223,0.0012179340793179569,10.669102534825303,0.5033112582781457,1545.5294117647059,1.0249100664280102
BTC/USDT,xgboost,4.567706240928489,0.7726195412664705,0.4640613688449537,0.2889936765745339,1.4656463810935725,2.353511239120554,-0.44154317293977563,1.749816526711086,-0.006862394879653149,-0.011711260614777178,0.19318113315456517,0.9815406866103372,4.350410013391611,0.7492469829868407,0.21729622753687838,0.5592506238932663,0.023637842890173767,0.1863439141356474,1632.3726878282714,0.507269544035929,10.728460596161698,1.050769447048123
BTC/USDT,xgb_lstm_ensemble,3.0351773880792896,0.5922099340049178,0.46407790720593617,0.2907454066450263,1.2343486015885936,1.970225161586771,-0.4336863732375823,1.3655258051663364,-0.006932405299136313,-0.011778214006845098,0.20070374091786244,0.9851183679683337,4.350410013391611,0.7492469829868407,-1.315232625312321,0.5464895783289723,-0.17218346957142364,0.17736165030067746,1553.6880566339346,0.5065844561163128,11.271557271557272,1.0425883237002178
BTC/USDT,buy_and_hold,4.350410013391611,0.7492469829868407,0.46406355911288977,0.29421892736463057,1.4371531105437982,2.266782743866702,-0.3475007738156676,2.156101624637763,-0.006989188540334545,-0.01197826767491999,0.1255386849518478,0.9856131536880567,4.350410013391611,0.7492469829868407,0.0,0.0,0.0,0.0,0.0,0.5118367968333714,26274.0,1.0497581359833805
BTC/USDT,sma_cross,0.46679818461816147,0.13623837305420716,0.4641114437660432,0.2934360925802391,0.5073971225737826,0.8025216293256787,-0.6092660684692778,0.22361063598452632,-0.006974985566353564,-0.011852719307232732,0.3280651492311863,0.9920453680444546,4.350410013391611,0.7492469829868407,-3.883611828773449,0.641727582085011,-0.6723126578833993,0.016670472710664536,146.03334094542134,0.5022836263987212,119.42727272727272,1.0172909877649465
BTC/USDT,macd,-0.17605374452343492,-0.06252457284760005,0.4641180349342732,0.2880817499176205,0.09293097954228074,0.14971772291029947,-0.5423506862609728,-0.11528439887972032,-0.006860125424475933,-0.011634689660568567,0.23814187618604438,0.9954708076425364,4.350410013391611,0.7492469829868407,-4.526463757915046,0.6563393683765563,-0.9504221046535599,0.109385704498744,958.2187714089974,0.48957143944584,18.271210013908206,1.0031447220422163
ETH/USDT,lstm,0.890613932564509,0.23657939778717818,0.6173548157632079,0.38908556683188644,0.6526166355967545,1.0354946499645403,-0.42638478348185216,0.5548495325167895,-0.009473433177576656,-0.01578161249929736,0.18945326035140192,0.9948999010428561,1.4808578236695427,0.3538295713903403,-0.5902438911050336,0.6685783881704312,-0.13583276109558412,0.05906980284692091,517.4514729390272,0.5051381593971226,33.81467181467181,1.0223042288278508
ETH/USDT,arima_garch,-0.059810408736373,-0.020352636333121343,0.6173671444971899,0.39147332654274547,0.27572277809400386,0.4348244762626011,-0.7088471899284066,-0.028712304460397107,-0.009305551211253737,-0.015780275566337165,0.34526081018122284,0.9966506812818756,1.4808578236695427,0.3538295713903403,-1.5406682324059155,0.9745229327595281,-0.3319456897808685,0.16503006774758316,1445.6633934688284,0.5000761208799573,12.1134163208852,1.0093631576462498
ETH/USDT,xgboost,6.157248648296752,0.9274380685735137,0.6173035862918134,0.37793938767106605,1.3711340553549163,2.2395283404387705,-0.3602458654903521,2.574458605683434,-0.00934627191300002,-0.015447899287405392,0.15036384610997727,0.9814265052904012,1.4808578236695427,0.3538295713903403,4.67639082462721,0.7574806728517377,0.4656159701378904,0.1440207048793484,1261.621374743092,0.5042247088376342,13.879556259904913,1.0474392130674866
ETH/USDT,xgb_lstm_ensemble,4.1055996506392365,0.7221440790897447,0.6173200425473349,0.3779633225471328,1.188643711060984,1.9413883372090575,-0.44649216981242645,1.617372325685176,-0.00939667334299773,-0.015445447296096194,0.19564455360270736,0.9834817690492502,1.4808578236695427,0.3538295713903403,2.624741826969694,0.7855516383702309,0.3055976249721509,0.13625637512369643,1193.6058460835807,0.5042247088376342,14.67001675041876,1.0409970100713641
ETH/USDT,buy_and_hold,1.4808578236695427,0.3538295713903403,0.617347287537309,0.3964535927917297,0.7997295546180347,1.2453181917971083,-0.6529607598345212,0.5418848928686171,-0.009575014785105983,-0.016049652465508782,0.25632495009530837,0.9906371317652432,1.4808578236695427,0.3538295713903403,0.0,0.0,0.0,0.0,0.0,0.5113039506736697,26274.0,1.0274005955175267
ETH/USDT,sma_cross,0.5783499933904996,0.1643481523089747,0.6173589657793404,0.38391827866620815,0.5550946200932041,0.8926187150061828,-0.6241325148808888,0.2633225290951864,-0.009511259130926203,-0.015487732500523854,0.3153418396352578,0.9943670548831545,1.4808578236695427,0.3538295713903403,-0.902507830279043,0.9100530199524257,-0.16594443117648505,0.017583923270153002,154.0351678465403,0.5028545329984014,113.25,1.0189398220347277
ETH/USDT,macd,0.00013693918505897074,4.565473527828878e-05,0.6173664847629002,0.371604030718342,0.3078076705374721,0.5113780363884423,-0.6472036845222939,7.054152559713392e-05,-0.00916463074030817,-0.015253265343746429,0.2983005885562914,0.9912460988049022,1.4808578236695427,0.3538295713903403,-1.4807208844844837,0.8756649975358661,-0.3468001263253068,0.11090812209789146,971.5551495775292,0.48336758772931415,18.020576131687243,1.0104584017435172
